               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  63,              1.2364,                2.24,              1.3228,              0.3367,             0.27162,             0.26859,             0.17799,              1.8819,              2.4996,              1.8036,            0.003862,            0.003862,            0.003862
                  64,              1.2671,              2.2571,               1.331,             0.31101,             0.28821,             0.28074,             0.18008,              1.8733,              2.3594,                1.81,            0.003763,            0.003763,            0.003763
                  65,               1.267,              2.2481,              1.3107,             0.42939,             0.27588,             0.27331,             0.17651,              1.8937,              2.4432,              1.8006,            0.003664,            0.003664,            0.003664
                  66,              1.2446,              2.2453,              1.3166,             0.42681,             0.26756,             0.27654,             0.18328,              1.8779,              2.4199,               1.805,            0.003565,            0.003565,            0.003565
                  67,              1.2534,              2.2281,              1.3263,               0.476,             0.28973,             0.28959,             0.18818,              1.8963,              2.4564,              1.8173,            0.003466,            0.003466,            0.003466
                  68,              1.2351,               2.233,              1.3057,             0.44963,             0.28823,             0.28913,              0.1904,              1.8398,              2.4306,               1.759,            0.003367,            0.003367,            0.003367
                  69,              1.2439,              2.1915,              1.3128,             0.32523,             0.28803,             0.28613,             0.18652,              1.8709,              2.3846,              1.7824,            0.003268,            0.003268,            0.003268
                  70,              1.2146,              2.2065,               1.299,             0.34289,             0.29565,             0.28536,             0.18813,              1.8695,              2.4019,              1.7765,            0.003169,            0.003169,            0.003169
                  71,              1.2309,              2.2199,              1.3127,             0.34124,             0.29218,              0.2909,             0.18841,              1.8531,              2.3734,              1.7806,             0.00307,             0.00307,             0.00307
                  72,              1.2286,              2.2126,              1.3102,             0.47205,             0.29255,             0.28967,             0.18812,              1.8465,              2.3742,              1.7867,            0.002971,            0.002971,            0.002971
                  73,              1.2409,              2.2286,              1.3186,             0.35237,             0.30698,             0.29943,             0.19217,              1.8583,              2.3365,              1.7991,            0.002872,            0.002872,            0.002872
                  74,              1.2004,              2.1818,               1.297,             0.47255,             0.29404,             0.29036,             0.19144,              1.8474,              2.3426,              1.7834,            0.002773,            0.002773,            0.002773
                  75,              1.1972,               2.188,              1.2979,              0.3589,             0.29616,             0.29556,             0.18869,              1.8517,              2.3617,              1.7859,            0.002674,            0.002674,            0.002674
                  76,               1.234,              2.2347,              1.3163,             0.34544,             0.29549,             0.28679,             0.18931,              1.8511,              2.3336,              1.7726,            0.002575,            0.002575,            0.002575
                  77,              1.2352,              2.2163,              1.3082,             0.34127,             0.30207,             0.28912,             0.19055,              1.8377,              2.3389,              1.7688,            0.002476,            0.002476,            0.002476
                  78,               1.221,              2.1844,              1.2997,             0.37144,             0.29901,             0.29162,             0.18958,              1.8536,              2.3273,              1.7692,            0.002377,            0.002377,            0.002377
                  79,              1.2236,              2.2025,              1.3035,             0.37443,             0.31518,             0.30827,             0.19323,              1.8259,               2.296,              1.7594,            0.002278,            0.002278,            0.002278
                  80,              1.2293,               2.177,               1.304,             0.39281,             0.31858,             0.30776,             0.19788,              1.8297,              2.2936,              1.7643,            0.002179,            0.002179,            0.002179
                  81,              1.2015,              2.1574,              1.2971,             0.37525,             0.30254,             0.29659,             0.19265,              1.8338,              2.3172,              1.7658,             0.00208,             0.00208,             0.00208
                  82,              1.1883,              2.1557,              1.2863,             0.36605,             0.29412,             0.30022,             0.19576,              1.8246,              2.3465,                1.76,            0.001981,            0.001981,            0.001981
                  83,              1.1676,               2.146,              1.2755,             0.37298,             0.31606,             0.31379,             0.19718,              1.8232,              2.2972,              1.7524,            0.001882,            0.001882,            0.001882
                  84,              1.2102,              2.1554,              1.2799,             0.37571,             0.31297,             0.30667,             0.19598,              1.8111,              2.2863,              1.7577,            0.001783,            0.001783,            0.001783
                  85,              1.1568,              2.1396,              1.2721,             0.40365,             0.32026,             0.30916,              0.1993,              1.8243,              2.3121,              1.7707,            0.001684,            0.001684,            0.001684
                  86,              1.1861,              2.1631,              1.2911,             0.38559,              0.3138,             0.30771,             0.19909,               1.815,              2.3093,              1.7505,            0.001585,            0.001585,            0.001585
                  87,              1.1697,              2.1358,              1.2728,             0.39608,             0.31203,             0.31785,             0.20248,              1.8007,              2.2722,              1.7521,            0.001486,            0.001486,            0.001486
                  88,              1.1438,              2.1313,              1.2774,             0.37639,             0.31794,             0.31266,             0.20072,              1.8075,              2.2891,                1.75,            0.001387,            0.001387,            0.001387
                  89,              1.1792,              2.1586,              1.2838,              0.3764,             0.33825,             0.32143,             0.20464,              1.8049,              2.2611,              1.7473,            0.001288,            0.001288,            0.001288
                  90,              1.1499,              2.1096,              1.2663,             0.36761,              0.3317,              0.3207,             0.20445,              1.8118,              2.2731,              1.7508,            0.001189,            0.001189,            0.001189
                  91,              1.1775,              2.1463,              1.2756,             0.38733,             0.32155,             0.32151,             0.20683,              1.8076,              2.2552,              1.7467,             0.00109,             0.00109,             0.00109
                  92,              1.1669,               2.139,              1.2652,             0.38267,             0.33213,             0.31598,             0.20121,              1.8228,              2.2709,              1.7588,            0.000991,            0.000991,            0.000991
                  93,              1.1839,              2.0993,              1.2725,             0.36414,             0.32834,             0.31515,             0.20405,              1.8188,              2.2382,               1.756,            0.000892,            0.000892,            0.000892
                  94,              1.1753,              2.1259,              1.2741,             0.38446,             0.34197,             0.32984,             0.20525,              1.7994,              2.2065,              1.7418,            0.000793,            0.000793,            0.000793
                  95,              1.1542,              2.1088,              1.2623,             0.37037,             0.33005,             0.32482,             0.20426,              1.7962,              2.2548,              1.7395,            0.000694,            0.000694,            0.000694
                  96,              1.1401,              2.0766,              1.2587,             0.38185,             0.33919,              0.3244,              0.2056,              1.8009,              2.2344,              1.7378,            0.000595,            0.000595,            0.000595
                  97,              1.1276,              2.1039,              1.2446,             0.37166,             0.32802,             0.31768,             0.20343,              1.7931,              2.2448,              1.7316,            0.000496,            0.000496,            0.000496
                  98,              1.1567,              2.1123,              1.2584,             0.36489,             0.33205,             0.31714,             0.20397,              1.7926,              2.2424,              1.7257,            0.000397,            0.000397,            0.000397
                  99,                1.13,              2.0628,              1.2622,              0.3739,             0.34568,             0.32756,             0.20742,              1.7897,              2.2169,              1.7269,            0.000298,            0.000298,            0.000298
